ID,best_alpha,best_l1,df_shape,feature 1,feature 2,feature names,feature nr,meodel_complexity,method,random_state,real_test_mae,real_test_mse,real_train_mae,real_train_mse,test_mae,test_mse,train_mae,train_mse
42,23.357214690901213,,"(1652, 4)",Lot Shape,,Lot Shape,1,1,ridgeCV,0,52287.30508474576,5460443055.324455,52293.7397094431,6124081536.715496,0.29773409725659056,0.1600409704343307,0.2865088179720872,0.14270984170147732
43,0.1,,"(1652, 4)",Lot Shape,,Lot Shape,1,1,lassoCV,0,54612.91041162227,5970273736.4842615,54707.30871670702,6543167895.604116,0.3117348605685527,0.1744784807038177,0.30097121665509247,0.15305775921647924
44,0.1,0.01,"(1652, 4)",Lot Shape,,Lot Shape,1,1,elasticCV,0,52344.106537530264,5489563715.46247,52338.08474576271,6142124594.110169,0.2981734750421671,0.16068178990802792,0.2868740598200966,0.14287192015521677
45,,,"(1652, 4)",Land Contour,,Land Contour,1,1,lr,0,54569.72397094431,5810062574.193705,55319.98244552058,6460132152.437652,0.31294128997873116,0.17684563229842593,0.30493780180963204,0.15484266652768292
46,,,"(1652, 4)",Land Contour,,Land Contour,1,1,huber,0,54673.619854721546,5935105456.646489,55149.563559322036,6562602302.9049635,0.3134283118153426,0.17922616318061066,0.3039212571003769,0.15555025615518792
47,,,"(1652, 4)",Land Contour,,Land Contour,1,1,lr_sgd,0,54621.19612590799,5822777343.641646,55335.53934624697,6466829849.4558115,0.3131595255737559,0.17690914242310357,0.30501337339623696,0.15486159204775776
48,12.742749857031335,,"(1652, 4)",Land Contour,,Land Contour,1,1,ridgeCV,0,54579.08716707022,5813290037.430993,55321.2112590799,6462501981.615618,0.3129756868806325,0.17683025828783383,0.30494047051818435,0.1548458316919693
49,10000.0,,"(1652, 4)",Land Contour,,Land Contour,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
50,0.1,0.01,"(1652, 4)",Land Contour,,Land Contour,1,1,elasticCV,0,54746.421307506054,5854494205.956416,55427.46065375303,6495639953.797215,0.31378652281504477,0.17696123096381247,0.30558635527583944,0.15522593850249186
51,,,"(1652, 2)",Utilities,,Utilities,1,1,lr,0,56766.094430992736,6307167509.852301,56530.210048426154,6826022618.632566,0.3244957303918287,0.1852746680663733,0.31179137804733703,0.16182950203443763
52,,,"(1652, 2)",Utilities,,Utilities,1,1,huber,0,56810.65617433414,6450461605.116222,56333.39467312349,6977516830.0411625,0.3247701332915749,0.18548053527729266,0.31060222008289107,0.16257044443370908
53,,,"(1652, 2)",Utilities,,Utilities,1,1,lr_sgd,0,56761.00968523003,6315470148.593221,56511.036924939464,6834873204.588983,0.32446532012752693,0.18524259921005892,0.31167687002694733,0.16183272055206901
54,10000.0,,"(1652, 2)",Utilities,,Utilities,1,1,ridgeCV,0,56765.80629539952,6307633181.714286,56544.37046004843,6826905184.377724,0.324493999795932,0.18527267031067257,0.3118866844356431,0.16184671447429594
55,10000.0,,"(1652, 2)",Utilities,,Utilities,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
56,10000.0,0.01,"(1652, 2)",Utilities,,Utilities,1,1,elasticCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
57,,,"(1652, 5)",Lot Config,,Lot Config,1,1,lr,0,55665.2784503632,6109248804.038741,55919.84564164649,6707674484.0441885,0.3183748836022893,0.1800017522362818,0.3082712304612482,0.15877479672859665
58,,,"(1652, 5)",Lot Config,,Lot Config,1,1,huber,0,55759.542372881355,6247726152.602905,55707.11803874092,6854891081.998184,0.3188648545714788,0.18013876959476283,0.3069745359149953,0.15951059025884562
59,,,"(1652, 5)",Lot Config,,Lot Config,1,1,lr_sgd,0,55563.21065375303,6065378066.479419,55961.81658595642,6687466687.443705,0.3178872184016971,0.1794819157014371,0.30850352969315425,0.15885564651500483
60,263.6650898730358,,"(1652, 5)",Lot Config,,Lot Config,1,1,ridgeCV,0,55732.825665859564,6123821212.544794,55932.01513317191,6711775613.696732,0.31871126355902324,0.1803178740226606,0.3083534735917653,0.15882208545247617
61,10000.0,,"(1652, 5)",Lot Config,,Lot Config,1,1,lassoCV,0,56765.75544794189,6307715419.101695,56546.95460048426,6827146166.385593,0.32449371390148996,0.18527234228823908,0.3119024290509912,0.1618528712098098
